uai;nom_etablissement;code_postal;latitude;longitude;nombre_eleves_hors_segpa_ulis;total_filles;pourcentage_filles
9720495F;Collège Trianon;97240;14.6205289328091;-60.911570334238235;299;153;51.17056856187290969900
0271096V;Collège Marie Curie;27304;49.09247192372764;0.5886605594087218;444;226;50.90090090090090090100
0501205N;Collège les Provinces;50130;49.62796998464379;-1.6298799572344473;290;166;57.24137931034482758600
0501300S;Collège Guillaume Fouace;50550;49.589236205211506;-1.27119995876091;141;73;51.77304964539007092200
0610056E;Collège Saint-Exupéry;61041;48.436995205925115;0.10235953320276274;337;156;46.29080118694362017800
0611023F;Collège François Truffaut;61201;48.742108808954065;-0.016470583940718663;416;235;56.49038461538461538500
0762286X;Collège Catherine Bernard;76360;49.554315113502184;0.9544640124609372;519;260;50.09633911368015414300
0761701L;Collège Roncherolles;76210;49.57052160326197;0.48505623165713097;561;308;54.90196078431372549000
0761781Y;Collège Jean Moulin;76620;49.51319879679554;0.1223226050896545;330;193;58.48484848484848484800
0761647C;Collège Paul Eluard;76800;49.39178218993487;1.1010069913550966;356;184;51.68539325842696629200
0762132E;Collège Robespierre;76800;49.39673043511122;1.0680494706698562;256;117;45.70312500000000000000
0240037K;Collège Jules Ferry;24120;45.130978379203704;1.2990041723447758;542;315;58.11808118081180811800
0331462K;Collège Francisco Goya;33023;44.83433606051566;-0.5771063716112431;362;188;51.93370165745856353600
0332082J;Collège Édouard Vaillant;33000;44.864465652163254;-0.5656659963993367;477;246;51.57232704402515723300
0330064R;Collège Aliénor d'Aquitaine;33350;44.85106732817064;-0.05064459442194146;402;228;56.71641791044776119400
0400648M;Collège Victor Duruy;40006;43.89753517334212;-0.5007480155494959;569;276;48.50615114235500878700
0641561Z;Collège Pierre Bourdieu;64150;43.36858824859739;-0.6251662358374172;293;180;61.43344709897610921500
0640227Z;Collège Jeanne d'Albret;64015;43.301610194236474;-0.3426021927729051;775;417;53.80645161290322580600
0190635M;Collège Jean Moulin;19316;45.156267323881245;1.4938800334320828;363;202;55.64738292011019283700
0870771R;Collège Bernart de Ventadour;87039;45.81395310431876;1.272164068477409;645;328;50.85271317829457364300
0870817R;Collège Auguste Renoir;87036;45.823354395912105;1.2417444828452684;488;265;54.30327868852459016400
0160113L;Collège Michelle Pallet;16000;45.650002306961134;0.12847421626497582;239;120;50.20920502092050209200
0170081W;Collège La Fayette;17300;45.929442164610386;-0.9618604247561143;342;192;56.14035087719298245600
0110021N;Collège Victor Hugo;11100;43.18780519341794;3.0061500163371266;643;344;53.49922239502332814900
0110026U;Collège Jules Ferry;11100;43.178945456593006;3.000819794519885;607;332;54.69522240527182866600
0300055X;Collège Bernard de Ventadour;30205;44.16255645283105;4.613679404873639;784;406;51.78571428571428571400
0301327E;Collège Gérard Philipe;30205;44.16182839770934;4.616229962459126;581;326;56.11015490533562822700
0301208A;Collège Eugène Vigne;30301;43.81046622018786;4.637780315203951;544;269;49.44852941176470588200
0300946R;Collège Révolution;30000;43.84112772205835;4.355359648642355;433;212;48.96073903002309468800
0301010K;Collège Ada Lovelace;30000;43.85884609257492;4.391109100659875;460;248;53.91304347826086956500
0301098F;Collège les Oliviers;30001;43.8339248310519;4.384729621593309;492;266;54.06504065040650406500
0300036B;Collège Armand Coussens;30500;44.259105416907765;4.197789695878007;374;200;53.47593582887700534800
0340109J;Collège les Garrigues;34085;43.64264400980377;3.817089710403796;591;296;50.08460236886632825700
